FundataKey|ManagerName|ManagerTitle|EnglishManagerBio|FrenchManagerBio|StartDate|Experience|Company
13853|Alan Tu||||09/10/2020||
13853|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
15168|William W. Priest||Before co-founding Epoch Investment Partners in 2004, Bill Priest was a Co-Managing Partner and Portfolio Manager at Steinberg Priest & Sloane Capital Management. Prior to that, he oversaw $100 billion in several executive positions with Credit Suisse Asset Management (CSAM) and its predecessor, BEA Associates, which he co-founded in 1972. He is a CFA charterholder, CPA, and a graduate of Duke University and the University of Pennsylvania Wharton Graduate School of Business.|Avant de fonder Epoch Investment Partners en 2004, M. Priest était associé principal et  gestionnaire de portefeuille à Steinberg Priest & Sloane Capital Management. Antérieurement, il a tenu plusieurs rôles de cadre dirigeant à Credit Suisse Asset Management et à la société prédécesseure BEA Associates qu'il a cofondée en 1972. Il a obtenu les titres de CFA et de CPA et il est diplômé de la Duke University et de l'University of Pennsylvania Wharton Graduate School of Business.|09/10/2020||
15168|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
15168|William J. Booth||Bill is the director of non-U.S. research and is a global portfolio manager and equity research analyst. Bill joined Epoch in 2009 from PioneerPath Capital, which is a long/short equity hedge fund where he was a consumer and retail analyst. Prior to PioneerPath, he was a senior analyst at Level Global where he focused on the consumer and industrial sectors. He also held an equity research position at Louis Dreyfus Commodities and was a credit analyst with Citigroup.|Bill Booth est directeur de recherche hors les É.-U., gestionnaire de portefeuilles mondiaux et analyste de la recherche sur actions. Avant de commencer à Epoch en 2009, il a travaillé à PioneerPath Capital, un fonds spéculatif d'actions à stratégies acheteur/vendeur, en tant qu'analyste de biens de consommation et de vente au détail. Il a également exercé des fonctions d'analyste principal à Level Global, de chercheur en actions à Louis Dreyfus Commodities et d'analyste de crédit à Citigroup.|09/10/2020||
15168|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
15171|Ziad Bakri||Ziad Bakri joined T. Rowe Price in 2011 and has since been a key member of the healthcare research team, influencing investment decisions and making significant contributions to the stock selections. Ziad has had a long track record of analyzing biotechnology companies. He earned a BA of medical science undergraduate degree with first-class honors from the Univ of Nottingham and a BA of medicine, BA of surgery (M.D.) from the Univ of Nottingham Medical School. He also holds the CFA designation.|M. Ziad Bakri rejoint T. Rowe Price en 2011. Il est un membre majeur de l'équipe de recherche sur les soins de santé par son influence sur les décisions de placement et sa contribution à la sélection des titres. Il a une vaste expérience en analyse des sociétés de biotechnologie. Il détient un bac en science médicale avec mention très honorable de l'Université de Nottingham, un bac en médecine et en chirurgie (M.D.) de l'école de médecine de l'Université de Nottingham et le titre de CFA.|09/10/2020||
15171|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
15173|Alan Tu||||09/10/2020||
15173|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
15193|William W. Priest||Before co-founding Epoch Investment Partners in 2004, Bill Priest was a Co-Managing Partner and Portfolio Manager at Steinberg Priest & Sloane Capital Management. Prior to that, he oversaw $100 billion in several executive positions with Credit Suisse Asset Management (CSAM) and its predecessor, BEA Associates, which he co-founded in 1972. He is a CFA charterholder, CPA, and a graduate of Duke University and the University of Pennsylvania Wharton Graduate School of Business.|Avant de fonder Epoch Investment Partners en 2004, M. Priest était associé principal et  gestionnaire de portefeuille à Steinberg Priest & Sloane Capital Management. Antérieurement, il a tenu plusieurs rôles de cadre dirigeant à Credit Suisse Asset Management et à la société prédécesseure BEA Associates qu'il a cofondée en 1972. Il a obtenu les titres de CFA et de CPA et il est diplômé de la Duke University et de l'University of Pennsylvania Wharton Graduate School of Business.|09/10/2020||
15193|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
15193|William J. Booth||Bill is the director of non-U.S. research and is a global portfolio manager and equity research analyst. Bill joined Epoch in 2009 from PioneerPath Capital, which is a long/short equity hedge fund where he was a consumer and retail analyst. Prior to PioneerPath, he was a senior analyst at Level Global where he focused on the consumer and industrial sectors. He also held an equity research position at Louis Dreyfus Commodities and was a credit analyst with Citigroup.|Bill Booth est directeur de recherche hors les É.-U., gestionnaire de portefeuilles mondiaux et analyste de la recherche sur actions. Avant de commencer à Epoch en 2009, il a travaillé à PioneerPath Capital, un fonds spéculatif d'actions à stratégies acheteur/vendeur, en tant qu'analyste de biens de consommation et de vente au détail. Il a également exercé des fonctions d'analyste principal à Level Global, de chercheur en actions à Louis Dreyfus Commodities et d'analyste de crédit à Citigroup.|09/10/2020||
15193|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
15196|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
15196|Ziad Bakri||Ziad Bakri joined T. Rowe Price in 2011 and has since been a key member of the healthcare research team, influencing investment decisions and making significant contributions to the stock selections. Ziad has had a long track record of analyzing biotechnology companies. He earned a BA of medical science undergraduate degree with first-class honors from the Univ of Nottingham and a BA of medicine, BA of surgery (M.D.) from the Univ of Nottingham Medical School. He also holds the CFA designation.|M. Ziad Bakri rejoint T. Rowe Price en 2011. Il est un membre majeur de l'équipe de recherche sur les soins de santé par son influence sur les décisions de placement et sa contribution à la sélection des titres. Il a une vaste expérience en analyse des sociétés de biotechnologie. Il détient un bac en science médicale avec mention très honorable de l'Université de Nottingham, un bac en médecine et en chirurgie (M.D.) de l'école de médecine de l'Université de Nottingham et le titre de CFA.|09/10/2020||
15200|Alan Tu||||09/10/2020||
15200|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
61279|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
61279|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
61279|William W. Priest||Before co-founding Epoch Investment Partners in 2004, Bill Priest was a Co-Managing Partner and Portfolio Manager at Steinberg Priest & Sloane Capital Management. Prior to that, he oversaw $100 billion in several executive positions with Credit Suisse Asset Management (CSAM) and its predecessor, BEA Associates, which he co-founded in 1972. He is a CFA charterholder, CPA, and a graduate of Duke University and the University of Pennsylvania Wharton Graduate School of Business.|Avant de fonder Epoch Investment Partners en 2004, M. Priest était associé principal et  gestionnaire de portefeuille à Steinberg Priest & Sloane Capital Management. Antérieurement, il a tenu plusieurs rôles de cadre dirigeant à Credit Suisse Asset Management et à la société prédécesseure BEA Associates qu'il a cofondée en 1972. Il a obtenu les titres de CFA et de CPA et il est diplômé de la Duke University et de l'University of Pennsylvania Wharton Graduate School of Business.|09/10/2020||
61279|William J. Booth||Bill is the director of non-U.S. research and is a global portfolio manager and equity research analyst. Bill joined Epoch in 2009 from PioneerPath Capital, which is a long/short equity hedge fund where he was a consumer and retail analyst. Prior to PioneerPath, he was a senior analyst at Level Global where he focused on the consumer and industrial sectors. He also held an equity research position at Louis Dreyfus Commodities and was a credit analyst with Citigroup.|Bill Booth est directeur de recherche hors les É.-U., gestionnaire de portefeuilles mondiaux et analyste de la recherche sur actions. Avant de commencer à Epoch en 2009, il a travaillé à PioneerPath Capital, un fonds spéculatif d'actions à stratégies acheteur/vendeur, en tant qu'analyste de biens de consommation et de vente au détail. Il a également exercé des fonctions d'analyste principal à Level Global, de chercheur en actions à Louis Dreyfus Commodities et d'analyste de crédit à Citigroup.|09/10/2020||
61453|Alan Tu||||09/10/2020||
61453|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
61454|Ziad Bakri||Ziad Bakri joined T. Rowe Price in 2011 and has since been a key member of the healthcare research team, influencing investment decisions and making significant contributions to the stock selections. Ziad has had a long track record of analyzing biotechnology companies. He earned a BA of medical science undergraduate degree with first-class honors from the Univ of Nottingham and a BA of medicine, BA of surgery (M.D.) from the Univ of Nottingham Medical School. He also holds the CFA designation.|M. Ziad Bakri rejoint T. Rowe Price en 2011. Il est un membre majeur de l'équipe de recherche sur les soins de santé par son influence sur les décisions de placement et sa contribution à la sélection des titres. Il a une vaste expérience en analyse des sociétés de biotechnologie. Il détient un bac en science médicale avec mention très honorable de l'Université de Nottingham, un bac en médecine et en chirurgie (M.D.) de l'école de médecine de l'Université de Nottingham et le titre de CFA.|09/10/2020||
61454|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
61526|Alan Tu||||09/10/2020||
61526|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
61532|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
61532|Ziad Bakri||Ziad Bakri joined T. Rowe Price in 2011 and has since been a key member of the healthcare research team, influencing investment decisions and making significant contributions to the stock selections. Ziad has had a long track record of analyzing biotechnology companies. He earned a BA of medical science undergraduate degree with first-class honors from the Univ of Nottingham and a BA of medicine, BA of surgery (M.D.) from the Univ of Nottingham Medical School. He also holds the CFA designation.|M. Ziad Bakri rejoint T. Rowe Price en 2011. Il est un membre majeur de l'équipe de recherche sur les soins de santé par son influence sur les décisions de placement et sa contribution à la sélection des titres. Il a une vaste expérience en analyse des sociétés de biotechnologie. Il détient un bac en science médicale avec mention très honorable de l'Université de Nottingham, un bac en médecine et en chirurgie (M.D.) de l'école de médecine de l'Université de Nottingham et le titre de CFA.|09/10/2020||
62516|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
62516|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
62516|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
62517|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
62517|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
62517|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
62518|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
62518|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
62518|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
62519|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
62519|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
62519|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
65487|Adnann Syed||Adnann joined TD Asset Management Inc. (TDAM) in February 2012. At the Synthetics Division in the Portfolio Management Group, Adnann oversees overlay mandates that extensively employ equity, interest rates and FX derivatives. He is also responsible for research and development of innovative strategies. Prior to joining TDAM, Adnann worked at TD Securities as Global Macro Rates and FX strategist, analyzing market risk premium and economic conditions in the developed economies.|Adnann est entré au service de Gestion de Placements TD en février 2012. Au sein de l'équipe de gestion de portefeuilles de produits synthétiques, Adnann est responsable de la supervision des mandats de superposition qui font fortement appel aux actions, aux instruments dérivés sur taux d'intérêt et sur taux de change. De plus, il est chargé du développement de stratégies à rendement absolu neutres au marché et faiblement corrélées aux indices d'actions et d'obligations. |09/10/2020||
65488|Adnann Syed||Adnann joined TD Asset Management Inc. (TDAM) in February 2012. At the Synthetics Division in the Portfolio Management Group, Adnann oversees overlay mandates that extensively employ equity, interest rates and FX derivatives. He is also responsible for research and development of innovative strategies. Prior to joining TDAM, Adnann worked at TD Securities as Global Macro Rates and FX strategist, analyzing market risk premium and economic conditions in the developed economies.|Adnann est entré au service de Gestion de Placements TD en février 2012. Au sein de l'équipe de gestion de portefeuilles de produits synthétiques, Adnann est responsable de la supervision des mandats de superposition qui font fortement appel aux actions, aux instruments dérivés sur taux d'intérêt et sur taux de change. De plus, il est chargé du développement de stratégies à rendement absolu neutres au marché et faiblement corrélées aux indices d'actions et d'obligations. |09/10/2020||
65489|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
65489|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
65492|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
65492|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
67928|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
67928|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
67928|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
67929|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
67929|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
67929|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
67932|Lazard Asset Management (Canada) Inc.||||09/09/2015||Lazard Asset Management (Canada) Inc.
67932|Lazard Asset Management LLC||||09/09/2015||Lazard Asset Management LLC
67932|Bridgehouse Asset Managers||||09/09/2015||Bridgehouse Asset Managers
81250|William W. Priest||Before co-founding Epoch Investment Partners in 2004, Bill Priest was a Co-Managing Partner and Portfolio Manager at Steinberg Priest & Sloane Capital Management. Prior to that, he oversaw $100 billion in several executive positions with Credit Suisse Asset Management (CSAM) and its predecessor, BEA Associates, which he co-founded in 1972. He is a CFA charterholder, CPA, and a graduate of Duke University and the University of Pennsylvania Wharton Graduate School of Business.|Avant de fonder Epoch Investment Partners en 2004, M. Priest était associé principal et  gestionnaire de portefeuille à Steinberg Priest & Sloane Capital Management. Antérieurement, il a tenu plusieurs rôles de cadre dirigeant à Credit Suisse Asset Management et à la société prédécesseure BEA Associates qu'il a cofondée en 1972. Il a obtenu les titres de CFA et de CPA et il est diplômé de la Duke University et de l'University of Pennsylvania Wharton Graduate School of Business.|09/10/2020||
81250|Michael Welhoelter||Michael Welhoelter heads Epoch's Quantitative and Risk Management team and is a Co-Portfolio Manager on all portfolio services. Prior, he held senior management and analyst positions with Columbia Management Group, Credit Suisse Asset Management Group and Chancellor/LGT Asset Management. Michael holds a BA in Computer and Information Science from Colgate University, is a member of the New York Society of Security Analysts and the Society of Quantitative Analysts and is a CFA charterholder.|M. Welhoelter dirige l'équipe d'Epoch sur la recherche quantitative et la gestion du risque et il est cogestionnaire de tous les services de portefeuille d'Epoch. Antérieurement, il a occupé des postes de cadre supérieur à Columbia Management Group, CSAM et Chancellor/LGT Asset Management. Il est titulaire d'un BA en sciences informatiques de la Colgate University. Il détient le titre de CFA et il est membre de la New York Society of Security Analysts et la Society of Quantitative Analysts.|09/10/2020||
81250|William J. Booth||Bill is the director of non-U.S. research and is a global portfolio manager and equity research analyst. Bill joined Epoch in 2009 from PioneerPath Capital, which is a long/short equity hedge fund where he was a consumer and retail analyst. Prior to PioneerPath, he was a senior analyst at Level Global where he focused on the consumer and industrial sectors. He also held an equity research position at Louis Dreyfus Commodities and was a credit analyst with Citigroup.|Bill Booth est directeur de recherche hors les É.-U., gestionnaire de portefeuilles mondiaux et analyste de la recherche sur actions. Avant de commencer à Epoch en 2009, il a travaillé à PioneerPath Capital, un fonds spéculatif d'actions à stratégies acheteur/vendeur, en tant qu'analyste de biens de consommation et de vente au détail. Il a également exercé des fonctions d'analyste principal à Level Global, de chercheur en actions à Louis Dreyfus Commodities et d'analyste de crédit à Citigroup.|09/10/2020||
81250|David N. Pearl||David Pearl is a co-founder of Epoch and lead Portfolio Manager of its U.S. services. Prior, he was Managing Director and Portfolio Manager at Steinberg Priest & Sloane Capital Management, and a senior portfolio manager at ING Furman Selz Asset Management and Citibank Global Asset Management. Previously, David was officer and senior analyst of BEA Associates. He has a BS in Mechanical Engineering from the University of Pennsylvania and an MBA from Stanford University Graduate School of Business.|M. Pearl est cofondateur d'Epoch et gestionnaire de portefeuille principal des services américains. Il a occupé des fonctions de directeur et de gérant de portefeuille à Steinberg Priest & Sloane Capital Management, ING Furman Selz Asset Management et Citibank Global Asset Management. Il a aussi été dirigeant et analyste principal à BEA Associates. Il est titulaire d'un B.Sc. en génie mécanique de l'University of Pennsylvania et d'une MBA de la Stanford University Graduate School of Business.|09/10/2020||
81266|Alan Tu||||09/10/2020||
81266|TD Asset Management Inc.||||09/10/2020||TD Asset Management Inc.
